,method,score,std,test_points,freq,dpoints,building_id,model,splits
3,frac_cyc,40.16241212250526,51.25963640211422,1752,60,8760,271,LinearRegression,4
4,domain,41.32015434349956,48.7244464363445,1752,60,8760,271,LinearRegression,4
0,baseline,83.82523265447782,5.415648372966694,1752,60,8760,271,RandomForestRegressor,4
1,baseline_cyc,76.38780326214427,6.0206659948912895,1752,60,8760,271,RandomForestRegressor,4
2,frac,83.27631357219447,4.551291733601753,1752,60,8760,271,RandomForestRegressor,4
3,frac_cyc,81.6886381680689,4.768380261881669,1752,60,8760,271,RandomForestRegressor,4
4,domain,82.18643783687266,4.868114174190781,1752,60,8760,271,RandomForestRegressor,4
0,baseline,81.58163134049252,6.666266821125195,1752,60,8760,517,LinearRegression,4
1,baseline_cyc,82.86404463760698,8.933616566479486,1752,60,8760,517,LinearRegression,4
2,frac,85.55546439223016,4.12964447597543,1752,60,8760,517,LinearRegression,4
3,frac_cyc,77.541056084244,16.743971617197587,1752,60,8760,517,LinearRegression,4
4,domain,77.6388429000634,16.53978752680774,1752,60,8760,517,LinearRegression,4
0,baseline,90.3389870842104,6.116239721434917,1752,60,8760,517,RandomForestRegressor,4
1,baseline_cyc,89.5610046925283,5.823024910427493,1752,60,8760,517,RandomForestRegressor,4
2,frac,89.26683889925825,5.7824711293460425,1752,60,8760,517,RandomForestRegressor,4
3,frac_cyc,89.42934186146167,5.733770450384327,1752,60,8760,517,RandomForestRegressor,4
4,domain,89.73980794180973,5.7885237960091125,1752,60,8760,517,RandomForestRegressor,4
0,baseline,92.61441635489527,0.5775933009998518,1752,60,8760,503,LinearRegression,4
1,baseline_cyc,94.91695034904099,1.1917222832085248,1752,60,8760,503,LinearRegression,4
2,frac,92.64110809901966,0.5514966161124282,1752,60,8760,503,LinearRegression,4
3,frac_cyc,93.27493356804693,2.283017263628912,1752,60,8760,503,LinearRegression,4
4,domain,93.19152252180754,2.2190399919556003,1752,60,8760,503,LinearRegression,4
0,baseline,96.84992272634503,0.7567569735755953,1752,60,8760,503,RandomForestRegressor,4
1,baseline_cyc,96.001707773091,1.2729520027979677,1752,60,8760,503,RandomForestRegressor,4
2,frac,96.7994911497449,0.6846869326787631,1752,60,8760,503,RandomForestRegressor,4
3,frac_cyc,95.89738678459636,1.7195924340499291,1752,60,8760,503,RandomForestRegressor,4
4,domain,96.16840744408712,1.7090969907642366,1752,60,8760,503,RandomForestRegressor,4
0,baseline,54.06002476445266,22.46185473658324,1752,60,8760,265,LinearRegression,4
1,baseline_cyc,68.40841164501087,10.165755312574717,1752,60,8760,265,LinearRegression,4
2,frac,64.14566338390915,3.2472886890838524,1752,60,8760,265,LinearRegression,4
3,frac_cyc,72.70444743897046,4.915011082006589,1752,60,8760,265,LinearRegression,4
4,domain,71.45876591518926,6.539223752639468,1752,60,8760,265,LinearRegression,4
0,baseline,79.43972569651184,6.6631679845529534,1752,60,8760,265,RandomForestRegressor,4
1,baseline_cyc,75.58942263247475,5.648790469218525,1752,60,8760,265,RandomForestRegressor,4
2,frac,78.47326251045371,6.97155931469818,1752,60,8760,265,RandomForestRegressor,4
3,frac_cyc,79.00802346446382,6.684451677773851,1752,60,8760,265,RandomForestRegressor,4
4,domain,79.99731194289531,6.761976059767827,1752,60,8760,265,RandomForestRegressor,4
0,baseline,57.05760822460691,10.579993856474552,1752,60,8760,107,LinearRegression,4
1,baseline_cyc,38.2372930570008,39.354915436090515,1752,60,8760,107,LinearRegression,4
2,frac,56.98205002263579,10.604283740057372,1752,60,8760,107,LinearRegression,4
