,method,score,freq,dpoints,building_id
3,frac_cyc,-35.45017984773404,15,66015,5
0,normal,0.7658120076334278,60,8760,474
1,normal_cyc,-585189909218.7141,60,8760,474
2,frac,0.9149273160220504,60,8760,474
3,frac_cyc,0.6435730436750777,60,8760,474
0,normal,0.3950404749229847,60,8760,460
1,normal_cyc,-3415515.61308703,60,8760,460
2,frac,0.7176375095177397,60,8760,460
3,frac_cyc,0.6158396793991155,60,8760,460
0,normal,0.2760420401100498,60,8760,306
1,normal_cyc,-6293211753720.816,60,8760,306
2,frac,0.8218748477685971,60,8760,306
3,frac_cyc,-0.11285283792121929,60,8760,306
0,normal,0.7836238608226256,60,8760,458
1,normal_cyc,-370120999400.2017,60,8760,458
2,frac,0.8944867199200816,60,8760,458
3,frac_cyc,0.8156249664698014,60,8760,458
0,normal,0.46197980936391453,15,65823,24
1,normal_cyc,0.8330074581884546,15,65823,24
2,frac,0.6816806988609492,15,65823,24
3,frac_cyc,-46.998222587423335,15,65823,24
0,normal,0.4465627188049864,15,66111,30
1,normal_cyc,0.689861739860249,15,66111,30
2,frac,0.5430943552661078,15,66111,30
3,frac_cyc,-206.95264835263924,15,66111,30
0,normal,0.5374312442011667,60,8760,302
1,normal_cyc,-31776788732.77176,60,8760,302
2,frac,0.8250246145998679,60,8760,302
3,frac_cyc,0.04883903357507161,60,8760,302
0,normal,0.7812899549961112,60,8784,464
1,normal_cyc,0.8813678325667407,60,8784,464
2,frac,0.9129680986300043,60,8784,464
3,frac_cyc,0.3898457069318226,60,8784,464
0,normal,-0.4520771506502969,15,73743,18
1,normal_cyc,-47858018931.93482,15,73743,18
2,frac,-0.09480846829094518,15,73743,18
3,frac_cyc,-15721.946230058624,15,73743,18
0,normal,0.41838175795125987,60,8760,470
1,normal_cyc,-575266355500.9425,60,8760,470
2,frac,0.7466217416938259,60,8760,470
3,frac_cyc,-2.3664929987473036,60,8760,470
0,normal,-0.16508481123591454,15,100786,1
1,normal_cyc,-1856064424530.9314,15,100786,1
2,frac,-0.06647634808009985,15,100786,1
3,frac_cyc,-4.22046192580287,15,100786,1
0,normal,0.7302415941487038,60,8760,316
1,normal_cyc,-1323258520644.2073,60,8760,316
2,frac,0.8632457869473638,60,8760,316
3,frac_cyc,0.6724130155034023,60,8760,316
0,normal,-393183479.20418113,60,8760,128
1,normal_cyc,-2.1890508689901544,60,8760,128
2,frac,-2.3429932608383286,60,8760,128
3,frac_cyc,-18.896914808268814,60,8760,128
0,normal,0.39511102081297345,60,8760,100
1,normal_cyc,0.24926432445837504,60,8760,100
2,frac,0.39518016325116523,60,8760,100
