,method,score,freq,dpoints,building_id
0,normal,0.6911335710084295,15,100786,1
1,normal_cyc,0.27908285575883995,15,100786,1
2,frac,0.7127695595169913,15,100786,1
3,frac_cyc,0.6866010587205057,15,100786,1
0,normal,0.8662401746023962,60,8760,316
1,normal_cyc,0.8791472192859948,60,8760,316
2,frac,0.8834102844995488,60,8760,316
3,frac_cyc,0.9027515118612699,60,8760,316
0,normal,-2.49581482138874,60,8760,128
1,normal_cyc,-2.4770836280354884,60,8760,128
2,frac,-2.6611140295774374,60,8760,128
3,frac_cyc,-2.507488806578855,60,8760,128
0,normal,0.681624723088358,60,8760,100
1,normal_cyc,0.6037038380644748,60,8760,100
2,frac,0.6956165844818365,60,8760,100
3,frac_cyc,0.6934000387631414,60,8760,100
0,normal,0.9838923562130266,60,8760,538
1,normal_cyc,0.9829974378461057,60,8760,538
2,frac,0.9824935763791683,60,8760,538
3,frac_cyc,0.9815027869674119,60,8760,538
0,normal,0.5520625207478655,60,8760,276
1,normal_cyc,0.5716102012287928,60,8760,276
2,frac,0.545769040048228,60,8760,276
3,frac_cyc,0.6581231753749168,60,8760,276
0,normal,0.8903497509642291,60,8760,510
1,normal_cyc,0.8582331497301028,60,8760,510
2,frac,0.8660175919391248,60,8760,510
3,frac_cyc,0.8947125412899769,60,8760,510
0,normal,0.9665438472390885,60,8760,504
1,normal_cyc,0.9467066445408633,60,8760,504
2,frac,0.9535630943299458,60,8760,504
3,frac_cyc,0.9552948554278765,60,8760,504
0,normal,0.8704236910995412,60,8760,262
1,normal_cyc,0.8653136681064204,60,8760,262
2,frac,0.8647160583166618,60,8760,262
3,frac_cyc,0.8809248044763097,60,8760,262
0,normal,0.7839094958556733,60,8760,289
1,normal_cyc,0.8250025692531463,60,8760,289
2,frac,0.7970309175189734,60,8760,289
3,frac_cyc,0.8238173189298726,60,8760,289
0,normal,0.7805241577718431,60,8760,288
1,normal_cyc,0.8019331222603481,60,8760,288
2,frac,0.6911566581864969,60,8760,288
3,frac_cyc,0.8011357144932522,60,8760,288
0,normal,0.9597060023197413,60,8760,505
1,normal_cyc,0.9603383854415278,60,8760,505
2,frac,0.9589654024915626,60,8760,505
3,frac_cyc,0.9627344267927962,60,8760,505
0,normal,0.6798849181335781,60,8760,263
1,normal_cyc,0.5972462267778349,60,8760,263
2,frac,0.6178553264164388,60,8760,263
3,frac_cyc,0.7096549828266856,60,8760,263
0,normal,0.7973362809120647,60,8760,277
1,normal_cyc,0.8066211392840614,60,8760,277
2,frac,0.7877860161838945,60,8760,277
3,frac_cyc,0.8484425545776131,60,8760,277
0,normal,0.7657158808404547,60,8760,511
1,normal_cyc,0.7948178391853966,60,8760,511
2,frac,0.7817033042329187,60,8760,511
3,frac_cyc,0.7714784290037059,60,8760,511
0,normal,0.8153480347133936,60,8760,539
1,normal_cyc,0.8052255166643298,60,8760,539
2,frac,0.7870017159526732,60,8760,539
3,frac_cyc,0.8265341147854369,60,8760,539
0,normal,-0.1744335072349051,60,8760,115
